,ime_znamke,ime_modela,ime_razlicice,tip_modela,menjalnik,vrsta_motorja,stevilo_vrat,stevilo_prestav,konjske_moci,kilovati,prostornina_motorja,povezava,naslov_oglasa,leto_izdelave,stevilo_kilometrov,cena,platforma,id_razlicice,id_modela
0,Mercedes-Benz,GL-Razred,CLA (C117),,AVTOMATSKI,DIEZEL,,7.0,258.0,190.0,2.987,https://www.avto.net/Ads/details.asp?id=17771516&display=Mercedes-Benz%20GL-Razred,Mercedes-Benz GL-Razred 350 CDI-PANO-2xTV-HLAJENJE-360 KAMERA-ZRAČNO-MEMOR,2014,189789,41888.0,avtonet,16271.0,1633.0
1,Mercedes-Benz,GL-Razred,E 63 AMG (W212),,AVTOMATSKI,BENCIN,,7.0,435.0,320.0,4.663,https://www.avto.net/Ads/details.asp?id=17764279&display=Mercedes-Benz%20GL-Razred,Mercedes-Benz GL-Razred 500 4-MATIC AUT. - 7 SEDEŽEV - PANORAMA ,2015,104937,44900.0,avtonet,16889.0,1674.0
2,Mercedes-Benz,GL-Razred,C-Klasse (W204),,AVTOMATSKI,DIEZEL,,5.0,224.0,165.0,2.987,https://www.avto.net/Ads/details.asp?id=17762318&display=Mercedes-Benz%20GL-Razred,Mercedes-Benz GL-Razred GL 320 CDI 4MATIC Avt.,2008,235919,17490.0,avtonet,15475.0,1617.0
3,Mercedes-Benz,GL-Razred,C-Klasse (W204),,AVTOMATSKI,DIEZEL,,5.0,224.0,165.0,2.987,https://www.avto.net/Ads/details.asp?id=17698795&display=Mercedes-Benz%20GL-Razred,Mercedes-Benz GL-Razred GL 320 CDI 4MATIC,2007,270500,13690.0,avtonet,15475.0,1617.0
4,Mercedes-Benz,GL-Razred,C-Klasse (W204),,AVTOMATSKI,DIEZEL,,5.0,224.0,165.0,2.987,https://www.avto.net/Ads/details.asp?id=17668558&display=Mercedes-Benz%20GL-Razred,Mercedes-Benz GL-Razred GL 320 CDI 4MATIC,2007,618175,10300.0,avtonet,15475.0,1617.0
5,Mercedes-Benz,GL-Razred,C-Klasse (W204),,AVTOMATSKI,DIEZEL,,5.0,224.0,165.0,2.987,https://www.avto.net/Ads/details.asp?id=17651259&display=Mercedes-Benz%20GL-Razred,Mercedes-Benz GL-Razred GL 350,2009,280000,15500.0,avtonet,15475.0,1617.0
6,Mercedes-Benz,GL-Razred,C-Klasse (W204),,AVTOMATSKI,DIEZEL,,5.0,265.0,195.0,2.987,https://www.avto.net/Ads/details.asp?id=17648253&display=Mercedes-Benz%20GL-Razred,Mercedes-Benz GL-Razred GL 350 CDI 4MATIC SPORT BlueEFFICIENCY MAX OPREMA,2010,187117,23850.0,avtonet,15475.0,1617.0
7,Mercedes-Benz,GL-Razred,C-Klasse (W204),,AVTOMATSKI,DIEZEL,,5.0,258.0,190.0,2.987,https://www.avto.net/Ads/details.asp?id=17515625&display=Mercedes-Benz%20GL-Razred,Mercedes-Benz GL-Razred GL 420 CDI 4MATIC,2007,157311,49990.0,avtonet,15475.0,1617.0
8,Mercedes-Benz,GL-Razred,CLA (C117),,AVTOMATSKI,DIEZEL,,7.0,258.0,190.0,2.987,https://www.avto.net/Ads/details.asp?id=17047246&display=Mercedes-Benz%20GL-Razred,Mercedes-Benz GL-Razred GL 350 BlueTEC 4MATIC AMG line ,2014,346288,38800.0,avtonet,16271.0,1633.0
9,Mercedes-Benz,GL-Razred,C-Klasse (W203),,AVTOMATSKI,DIEZEL,,5.0,306.0,225.0,3.996,https://www.avto.net/Ads/details.asp?id=16821540&display=Mercedes-Benz%20GL-Razred,Mercedes-Benz GL-Razred GL 420.CDI..4x4.KAMERA.USNJE.KREDIT BREZ POLOGA,2006,354587,9980.0,avtonet,15502.0,1617.0
