,ime_znamke,ime_modela,ime_razlicice,tip_modela,menjalnik,vrsta_motorja,stevilo_vrat,stevilo_prestav,konjske_moci,kilovati,prostornina_motorja,povezava,naslov_oglasa,leto_izdelave,stevilo_kilometrov,cena,id_razlicice,id_modela
0,,,,TipVozila.SPREMENLJIV,,,4,,,,,https://www.bolha.com/avto-oglasi/rover-75-2.5-v6-avtomatik-lpg-oglas-6033436,Rover 75 2.5 V6 avtomatik LPG,,,0.3,4962,360
1,Citroën,CX,25 GTI,TipVozila.SPREMENLJIV,,Motor.BENCIN,4,,,,2.5,https://www.bolha.com/avto-oglasi/citro-n-cx-25-gti-oglas-9872910,Citroën CX 25 GTI,1988.0,220000.0,3000.0,6712,586
2,Citroën,Berlingo,2.0 HDI,TipVozila.KOMBI,,Motor.DIEZEL,5,,,,2.0,https://www.bolha.com/avto-oglasi/citro-n-berlingo-2.0-hdi-oglas-10156635,Citroën Berlingo 2.0 HDI,2005.0,164000.0,1650.0,6287,553
3,Land Rover,Discovery Sport,"Sport HSE D4 150 KM 4WD UGODNO, MENJAVA",TipVozila.SUV,Menjalnik.ROČNI,Motor.DIEZEL,5,6.0,,110.0,1.999,https://www.bolha.com/avto-oglasi/land-rover-discovery-sport-sport-hse-d4-150-km-4wd-ugodno-menjava-oglas-10156622,"Land Rover Discovery Sport Sport HSE D4 150 KM 4WD UGODNO, MENJAVA",2016.0,145600.0,20300.0,13834,1445
4,Audi,A6,1.8 T,TipVozila.SPREMENLJIV,Menjalnik.ROČNI,Motor.BENCIN,5,5.0,,110.0,1.781,https://www.bolha.com/avto-oglasi/audi-a6-1.8-t-cel-ali-posamezno-oglas-9484977,Audi A6 1.8 T CEL ALI POSAMEZNO,2000.0,220000.0,400.0,1631,164
5,VW,Sharan,1.9 TDI,TipVozila.KOMBI,Menjalnik.ROČNI,Motor.DIEZEL,5,5.0,,85.0,1.896,https://www.bolha.com/avto-oglasi/vw-sharan-1.9-tdi-oglas-9148350,VW Sharan 1.9 TDI,2001.0,230000.0,200.0,27832,2655
6,Audi,A4 Avant,2.0 TDI DPF multitronic,TipVozila.KARAVAN,Menjalnik.AVTOMATSKI,Motor.DIEZEL,5,,,103.0,1.968,https://www.bolha.com/avto-oglasi/audi-a4-avant-2.0-tdi-dpf-multitronic-avtomatik-oglas-10156109,Audi A4 Avant 2.0 TDI DPF multitronic avtomatik,2007.0,166000.0,5000.0,1008,145
7,Peugeot,Partner,1.6HDI-Slo.vozilo,TipVozila.KOMBI,Menjalnik.ROČNI,Motor.DIEZEL,5,5.0,,68.0,1.6,https://www.bolha.com/avto-oglasi/peugeot-partner-1.6hdi-slo-vozilo-oglas-10155957,Peugeot Partner 1.6HDI-Slo.vozilo,2011.0,139000.0,6850.0,21060,2049
8,Opel,Kadett,1.3,TipVozila.HATCHBACK,Menjalnik.ROČNI,Motor.BENCIN,3,,,55.0,1.298,https://www.bolha.com/avto-oglasi/opel-kadett-1.3-starodobnik-z-certifikatom-registriran-1200-oglas-10155707,Opel Kadett 1.3-STARODOBNIK Z CERTIFIKATOM-REGISTRIRAN za 1200€,1987.0,110000.0,1200.0,19708,1942
9,Citroën,Xsara Picasso,Enoprostorec ,TipVozila.SPREMENLJIV,Menjalnik.ROČNI,Motor.BENCIN,4,5.0,,,1.6,https://www.bolha.com/avto-oglasi/citroen-xsara-picasso-enoprostorec-letnik-2008-214000-km-bencin-oglas-1581251,"Citroen Xsara Picasso Enoprostorec , letnik 2008, 214000 km, bencin",2008.0,220000.0,2000.0,6935,608
10,BMW,serija 3 Gran Turismo,SPORT,TipVozila.SPREMENLJIV,Menjalnik.AVTOMATSKI,Motor.DIEZEL,6,,,110.0,1.995,https://www.bolha.com/avto-oglasi/bmw-serija-3-gran-turismo-sport-avtomatik-oglas-10155567,BMW serija 3 Gran Turismo SPORT avtomatik,2014.0,178000.0,15500.0,4381,275
11,Mazda,5,CD,TipVozila.KARAVAN,,Motor.DIEZEL,5,,,81.0,1.998,https://www.bolha.com/avto-oglasi/mazda-5-cd-oglas-9962451,Mazda 5 CD- 2. spletna javna dražba (KR),2006.0,354949.0,1100.0,14675,1553
12,,,,TipVozila.HATCHBACK,,,5,,,,,https://www.bolha.com/avto-oglasi/vw-passat-osebno-oglas-9737052,"KUPIM Polo, Golf, Passat ali drugi model VW - Volkswagen",,,10000.0,18277,1834
13,Volvo,S80,D 5,TipVozila.SPREMENLJIV,Menjalnik.AVTOMATSKI,Motor.DIEZEL,5,,,120.0,2.4,https://www.bolha.com/avto-oglasi/volvo-s80-d-5-avtomatik-oglas-6983309,Volvo S80 D 5 avtomatik,2002.0,386000.0,100.0,28839,2744
14,Renault,Twingo,1.2 ,TipVozila.HATCHBACK,Menjalnik.ROČNI,Motor.BENCIN,3,5.0,,43.0,1.149,https://www.bolha.com/avto-oglasi/prodam-renault-twingo-1.2-bencin-oglas-10155325,"Prodam Renault Twingo 1.2, bencin",2009.0,198232.0,2430.0,22270,2211
15,Volvo,V70,2.5 tdi,TipVozila.KARAVAN,Menjalnik.ROČNI,Motor.DIEZEL,5,5.0,,140.0,2.5,https://www.bolha.com/avto-oglasi/volvo-v70-2.5-tdi-oglas-9967174,Volvo V70 2.5 tdi,2002.0,350000.0,1300.0,29040,2748
16,Nissan,X-Trail,2.2 dci,TipVozila.SUV,Menjalnik.ROČNI,Motor.DIEZEL,5,5.0,,140.0,2.2,https://www.bolha.com/avto-oglasi/nissan-x-trail-2.2-dci-oglas-9967295,Nissan X-Trail 2.2 dci,2005.0,300000.0,1750.0,18200,1829
17,VW,Arteon,2.0 TDI avt. 110kW Elegance,TipVozila.KARAVAN,Menjalnik.AVTOMATSKI,Motor.DIEZEL,5,,,110.0,2.0,https://www.bolha.com/avto-oglasi/vw-arteon-2.0-tdi-avt-110kw-elegance-avtomatik-oglas-10155202,VW Arteon 2.0 TDI avt. 110kW Elegance avtomatik,2019.0,113000.0,34000.0,26925,2629
18,Honda,Accord Aerodeck,CIVIC,TipVozila.KARAVAN,Menjalnik.ROČNI,Motor.BENCIN,4,6.0,,85.0,1.6,https://www.bolha.com/avto-oglasi/honda-accord-aerodeck-civic-oglas-9591436,Honda Accord Aerodeck CIVIC,1998.0,210000.0,350.0,11324,1136
19,Ford,Fiesta,1.4l 71 kW 96 KM M5,TipVozila.SPREMENLJIV,,Motor.BENCIN,5,,,71.0,1.388,https://www.bolha.com/avto-oglasi/ford-fiesta-1.4l-71-kw-96-km-m5-letnik-2010-st-km-11111-oglas-10154834,"Ford Fiesta 1.4l 71 kW 96 KM M5,LETNIK 2010, ŠT KM 11111",2010.0,11111.0,,8801,925
20,Land Rover,Discovery Sport,"Hse 2.o. D4 150  4x4 KOT NOV, MOŽNOST MENJAVA ",TipVozila.SUV,Menjalnik.ROČNI,Motor.DIEZEL,5,6.0,,110.0,1.999,https://www.bolha.com/avto-oglasi/land-rover-discovery-sport-2-d4-150-4x4-kot-nov-moznost-menjava-oglas-10154823,"Land Rover Discovery Sport 2.o. D4 150  4x4 KOT NOV, MOŽNOST MENJAVA",2016.0,145500.0,20300.0,13834,1445
21,Citroën,Xsara Picasso,Elegance,TipVozila.KOMBI,Menjalnik.ROČNI,Motor.BENCIN,5,5.0,,80.0,1.6,https://www.bolha.com/avto-oglasi/citro-n-xsara-picasso-elegance-oglas-10154774,Citroën Xsara Picasso Elegance,2007.0,248000.0,1500.0,6935,608
22,BMW,serija 3,316,TipVozila.SPREMENLJIV,Menjalnik.AVTOMATSKI,Motor.DIEZEL,5,,,,1.995,https://www.bolha.com/avto-oglasi/bmw-serija-3-316-oglas-9668376,BMW serija 3 316,2014.0,176000.0,18390.0,4683,300
23,Renault,Clio,1.2,TipVozila.SPREMENLJIV,Menjalnik.ROČNI,Motor.BENCIN,5,,,54.0,1.149,https://www.bolha.com/avto-oglasi/renault-clio-1.2-oglas-10012175,Renault Clio 1.2,2017.0,64000.0,11200.0,22113,2205
24,Mercedes-Benz,E-klasa,210,TipVozila.SPREMENLJIV,Menjalnik.ROČNI,Motor.BENCIN,4,5.0,,123.0,2.35,https://www.bolha.com/avto-oglasi/mercedes-benz-e-klasa-210-oglas-10154701,Mercedes-Benz E-klasa 210,1999.0,275000.0,1800.0,14305,1494
25,VW,Touran,tiptronic,TipVozila.KOMBI,Menjalnik.ROČNI,Motor.BENCIN,5,6.0,,110.0,1.498,https://www.bolha.com/avto-oglasi/vw-touran-tiptronic-oglas-7431144,VW Touran tiptronic,2021.0,148.0,30990.0,27722,2651
26,VW,Drugi modeli,1303 s,TipVozila.SPREMENLJIV,,Motor.BENCIN,4,,,,13.0,https://www.bolha.com/avto-oglasi/vw-hrosc-1303-letnik-1973-100-km-bencin-oglas-2587772,"VW Hrošč 1303 s, letnik 1973, 100 km, bencin",1973.0,100.0,,5064,398
