,ime_znamke,ime_modela,ime_razlicice,tip_modela,menjalnik,vrsta_motorja,stevilo_vrat,stevilo_prestav,konjske_moci,kilovati,prostornina_motorja,povezava,naslov_oglasa,leto_izdelave,stevilo_kilometrov,cena,platforma,id_razlicice,id_modela
0,RENAULT,Megane Sedan,Megane Sedan,KARAVAN,ROČNI,DIEZEL,5,6.0,,131.0,1.87,https://www.bolha.com/avto-oglasi/renault-megane-kms406-oglas-9683453,Renault Megane 2,2007.0,332000.0,1600.0,bolha,21846.0,2201.0
1,Smart,fortwo coupe,passion,COUPÉ,,BENCIN,3,,,,999.0,https://www.bolha.com/avto-oglasi/smart-fortwo-coupe-passion-oglas-9992759,Smart fortwo coupe passion,2014.0,86000.0,7900.0,bolha,,
2,VOLKSWAGEN,Golf Cabrio,Golf VI Cabrio,SPREMENLJIV,ROČNI,BENCIN,2,,,25.0,1.2,https://www.bolha.com/avto-oglasi/vw-buggy-nedokoncan-oglas-9844894,VW Buggy Nedokončan,1976.0,50000.0,3800.0,bolha,28041.0,2683.0
3,VOLKSWAGEN,Arteon,Arteon,SPREMENLJIV,AVTOMATSKI,DIEZEL,5,,,110.0,2.0,https://www.bolha.com/avto-oglasi/vw-arteon-2.0-tdi-r-line-automatic-oglas-10159678,VW Arteon 2.0 TDI R-Line Automatic,2019.0,85000.0,34500.0,bolha,26925.0,2629.0
4,MAZDA,6 / Atenza Wagon,6 / Atenza Wagon,KARAVAN,ROČNI,DIEZEL,5,6.0,,110.0,2.2,https://www.bolha.com/avto-oglasi/mazda-6-sport-combi-revolution-oglas-10159461,Mazda 6 Sport Combi Revolution,2016.0,16000.0,15990.0,bolha,14740.0,1556.0
5,VOLKSWAGEN,Passat Variant,Passat Variant,SPREMENLJIV,ROČNI,DIEZEL,4,6.0,,103.0,1.968,https://www.bolha.com/avto-oglasi/vw-passat-highline-oglas-10016039,VW Passat Highline,2009.0,270000.0,6500.0,bolha,27318.0,2638.0
6,VOLKSWAGEN,Passat Variant,Passat Variant,KARAVAN,,DIEZEL,5,,,,1.968,https://www.bolha.com/avto-oglasi/vw-passat-b8-oglas-9823677,"ODKUP VOZIL ZNAMKE VW, AUDI, ŠKODA....",2015.0,200000.0,0.0,bolha,27333.0,2638.0
7,RENAULT,Scenic,Scenic,KOMBI,,DIEZEL,5,,,81.0,1.9,https://www.bolha.com/avto-oglasi/renault-scenic-deli-letnik-2004-185000-km-diesel-beri-opombe-ugo-oglas-1582418,"Renault Scenic DELI, letnik 2004, 185000 km, diesel Beri opombe,UGO...",2008.0,200000.0,1.0,bolha,22327.0,2213.0
8,VW,Transporter,kupim transporter caravela od ,HATCHBACK,,DIEZEL,4,,,25.0,2.0,https://www.bolha.com/avto-oglasi/vw-transporter-kupim-transporter-caravela-let-2010-dalje-info-04-oglas-1582473,VW Transporter kupim transporter caravela od let 2010 dalje info 04...,2010.0,1.0,,bolha,,
9,FIAT,126,126,HATCHBACK,ROČNI,BENCIN,2,,,18.0,650.0,https://www.bolha.com/avto-oglasi/fiat-126-letnik-2000-1000-km-bencin-oglas-1619150,"Fiat 126, letnik 2000, 1000 km, bencin",2000.0,1000.0,150.0,bolha,8127.0,824.0
10,CITROEN,C5 Estate,C5 Tourer,KARAVAN,ROČNI,DIEZEL,5,6.0,,100.0,1.997,https://www.bolha.com/avto-oglasi/citro-n-c5-tourer-exclusive-2.0hdi-oglas-10158569,Citroën C5 Tourer Exclusive 2.0HDi,2010.0,196000.0,5800.0,bolha,6379.0,558.0
11,RENAULT,Laguna Coupe,Laguna Coupe,SPREMENLJIV,ROČNI,DIEZEL,5,6.0,,,1.9,https://www.bolha.com/avto-oglasi/renault-laguna-1.9-dci-letnik-2004-oglas-10158340,"Renault Laguna 1.9 dci, letnik 2004",2004.0,245000.0,1500.0,bolha,22446.0,2227.0
12,VW,Polo,Odvoz in Odkup vse vrste vozil stanje ni pomembno lahko v okvari dlje časa v ne uporabi pridemo po celi sloveniji več informacij na zs ali 070-240593,COUPÉ,,BENCIN,4,,,,1.0,https://www.bolha.com/avto-oglasi/vw-polo-odvoz-in-odkup-vse-vrste-vozil-oglas-9813138,VW Polo Odvoz in Odkup vse vrste vozil,2001.0,588.0,350.0,bolha,,
13,Škoda,Octavia,Odvoz in Odkup vse vseh staro vozil stanje ni pomebno,SPREMENLJIV,,BENCIN,5,,,,1.6,https://www.bolha.com/avto-oglasi/skoda-octavia-odvoz-in-odkup-vse-vseh-staro-vozil-stanje-ni-pomebno-oglas-10157472,Škoda Octavia Odvoz in Odkup vse vseh staro vozil stanje ni pomebno,2000.0,59986.0,500.0,bolha,,
14,MERCEDES BENZ,C-Class Cabriolet,C-Class Cabriolet (A205),SPREMENLJIV,ROČNI,DIEZEL,4,,,44.0,2.2,https://www.bolha.com/avto-oglasi/mercedes-ostali-modeli-w123-delih-letnik-1977-240000-km-diesel-oglas-1580527,"Mercedes Ostali modeli w123 PO DELIH, letnik 1977, 240000 km, diesel",1977.0,240000.0,666.0,bolha,16653.0,1644.0
15,VOLKSWAGEN,Golf Cabrio,Golf IV Cabrio,SPREMENLJIV,ROČNI,BENCIN,3,5.0,,,1.4,https://www.bolha.com/avto-oglasi/vw-golf-iv-wv-golf-iv-3-vrata-letnik-2001-95000-km-bencin-oglas-2227260,"VW Golf IV wv golf IV . 3 vrata, letnik 2001, 97000 km, bencin,",2001.0,97000.0,3000.0,bolha,28060.0,2683.0
16,MERCEDES BENZ,C-Klasse Coupe,C-Class Coupe (C205),COUPÉ,,BENCIN,3,,,150.0,2.496,https://www.bolha.com/avto-oglasi/mercedes-benz-c-klasa-coupe-c230-oglas-8602406,Mercedes-Benz C-klasa Coupe C230,2007.0,187000.0,5200.0,bolha,16622.0,1642.0
17,BMW,4 Series Coupe,4 Series Coupe (F32),COUPÉ,AVTOMATSKI,DIEZEL,3,,,135.0,1.998,https://www.bolha.com/avto-oglasi/bmw-serija-4-coupe-420d-luxury-line-avtomatik-oglas-10157123,BMW serija 4 Coupe 420d Luxury line avtomatik,2013.0,125000.0,23500.0,bolha,3565.0,256.0
18,Mazda,Drugi modeli,N/A,SPREMENLJIV,,BENCIN,4,,,,1.0,https://www.bolha.com/avto-oglasi/semperit-205-55-16-5.5mm-dot-1312-oglas-2597725,Semperit 205/55-16 - 5.5mm - dot 1312,1971.0,1.0,20.0,bolha,,
19,Lexus,IS,220d,SPREMENLJIV,ROČNI,DIEZEL,4,6.0,,130.0,2.231,https://www.bolha.com/avto-oglasi/lexus-is-220d-oglas-10157013,Lexus IS 220d,2009.0,256000.0,5600.0,bolha,,
20,RENAULT,Scenic,Scenic,KOMBI,ROČNI,DIEZEL,5,6.0,,70.0,1.496,https://www.bolha.com/avto-oglasi/renault-scenic-scenic-1.5-dci-95-km-oglas-9849639,Renault Scenic SCENIC 1.5 DCI 95 KM,2017.0,52000.0,15500.0,bolha,22297.0,2213.0
21,LAND ROVER,Discovery Sport,Discovery Sport,SUV,ROČNI,DIEZEL,5,6.0,,110.0,1.999,https://www.bolha.com/avto-oglasi/land-rover-discovery-sport-hse-d4-150-km-4wd-oglas-10156922,Land Rover Discovery Sport HSE D4 150 KM 4WD,2016.0,112000.0,28880.0,bolha,13834.0,1445.0
22,,,,SPREMENLJIV,,,4,,,,,https://www.bolha.com/avto-oglasi/rover-75-2.5-v6-avtomatik-lpg-oglas-6033436,Rover 75 2.5 V6 avtomatik LPG,,,0.3,bolha,,
23,Citroën,CX,25 GTI,SPREMENLJIV,,BENCIN,4,,,,2.5,https://www.bolha.com/avto-oglasi/citro-n-cx-25-gti-oglas-9872910,Citroën CX 25 GTI,1988.0,220000.0,3000.0,bolha,,
